                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 0.9105,                0.65826,                 1.2466,                 0.8659,                0.87201,                0.91895,                0.57592,                 1.2896,                0.75779,                 1.5766,             0.00023121,             0.00023121,             0.00023121
                     89,                0.92618,                0.68697,                 1.2609,                0.85804,                0.90007,                0.90847,                0.56801,                 1.2653,                0.75552,                 1.5533,             0.00021471,             0.00021471,             0.00021471
                     90,                0.89454,                0.65408,                  1.233,                0.84914,                0.87567,                0.91139,                0.57255,                 1.2437,                0.79048,                 1.5432,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.9048,                 0.5664,                 1.2603,                0.85646,                0.88907,                0.91795,                0.56823,                 1.2549,                0.74452,                 1.5422,              0.0001817,              0.0001817,              0.0001817
                     92,                0.86141,                0.55122,                 1.2575,                0.84999,                0.86841,                0.92448,                0.56343,                 1.2952,                 0.7515,                 1.5769,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.8634,                0.53032,                  1.234,                0.82256,                0.89935,                0.92653,                0.56774,                 1.3041,                0.76383,                 1.5829,              0.0001487,              0.0001487,              0.0001487
                     94,                0.85994,                0.52173,                 1.2389,                0.85912,                0.90264,                0.93507,                0.57113,                 1.2651,                0.70088,                 1.5575,             0.00013219,             0.00013219,             0.00013219
                     95,                0.83818,                0.51408,                 1.2267,                0.85278,                0.89491,                0.93355,                0.56884,                 1.2801,                0.72585,                 1.5552,             0.00011569,             0.00011569,             0.00011569
                     96,                0.80848,                0.49724,                 1.2122,                0.85397,                0.90264,                0.93391,                0.58045,                 1.2677,                0.71968,                 1.5578,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.80819,                0.50239,                 1.2064,                0.87322,                0.87796,                0.92884,                0.58351,                 1.2698,                0.73228,                 1.5726,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.78876,                0.48677,                 1.1889,                 0.8542,                0.89376,                0.91843,                0.57657,                 1.2873,                0.72607,                 1.5888,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.81041,                0.49636,                 1.2089,                0.87177,                0.87198,                0.92886,                0.57901,                 1.2842,                0.72964,                 1.5833,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.79597,                 0.4854,                 1.1919,                0.86582,                0.89537,                 0.9308,                0.57509,                 1.2819,                0.73555,                 1.5849,             3.3173e-05,             3.3173e-05,             3.3173e-05
